stop_name,stop_name_kn
Ananda Ashrama,ಆನಂದ ಆಶ್ರಮ
Ananda Ashrama Bannerughatta,ಅನಂದ ಶ್ರಮ ಬಂನೆರುಘಟ
Ananda Rao Circle,ಆನಂದ ರಾವ್‌ ವೃತ್ತ
Anandanagara,ಆನಂದನಗರ
Anandapura,ಆನಂದಪುರ
Anandgiri layout,ಅನಂದ್ಗಿರಿ ಲಯೌಟ್
Ananthapura,ರಾಮಗೊಂಡನಹಳ್ಳಹಲ್ಲಿ
Ananthapura Gate,ಅನಂತಪುರ ಗೇಟ್
Anchepalya,ಅಂಚೆಪಾಳ್ಯ
Anchipura,ಅಂಚಿಪುರ
Anchipura Colony,ಅಂಚಿಪುರ ಕಾಲೋನಿ
Anchipura Cross,ಅಂಚಿಪುರ ಕ್ರಾಸ್
Andhrahalli,ಅಂದ್ರಹಳ್ಳಿ
Andhrahalli Gate,ಆಂಧ್ರಹಳ್ಳಿ ಗೇಟ್
Andhrahalli Govt School,ಅಂದ್ರಹಳ್ಳಿ ಸರ್ಕಾರಿ ಶಾಲೆ
Ane Hosahalli Gate,ಆನೆ ಹೊಸಹಳ್ಳಿ ಗೇಟ್
Anehalla,ಆನೆಹಳ್ಳ
Anekal,ಆನೆಕಲ್
Anekal Circle,ಆನೆಕಲ್ ವೃತ್ತ
Anekal Road Junction,ಅನೇಕಲ್ ರೋಡ್ ಜಂಕ್ಷನ್
Anepalya,ಆನೆಪಾಳ್ಯ
Anjan Vidya Kendra School,ಅಂಜನ್‌ ವಿದ್ಯಾ ಕೇಂದ್ರ ಸ್ಕೂಲ್
Anjanamurthy,ಅಂಜನಮೂರ್ತಿ
Anjananagara,ಅಂಜನಾನಗರ
Anjanapura,ಅಂಜನಾಪುರ
Anjanapura 10 Block,ಅಂಜನಾಪುರ 10ನೇ ಬ್ಲಾಕ್
Anjanapura 10th  Block,ಘಟಕ-44 ಅಂಜನಾಪುರ
Anjanapura 10th Block,ಅಂಜನಾಪುರ 10ನೇ ಬ್ಲಾಕ್
Anjanapura 1st Block,ಅಂಜನಾಪುರ 1ನೇ ಬ್ಲಾಕ್
Anjanapura 2nd Block,ಅಂಜನಾಪುರ 2ನೇ ಬ್ಲಾಕ್
Anjanapura 2nd Block Cross,ಅಂಜನಾಪುರ 2ನೇ ಬ್ಲಾಕ್‌ ಕ್ರಾಸ್‌
Anjanapura 2nd Block Cross (LBSN),ಅಞನಪುರ 2ಂದ್ ಬ್ಲೊಕ್ಕ್ ಕ್ರೊಸ್ಸ್ (ಲ್ಬ್ಸ್ಂ)
Anjanapura 6th Block (Lakshmivenkateshwara Temple),ಅಞನಪುರ 6ತ್ ಬ್ಲೊಕ್ಕ್ (ಲಕ್ಷ್ಮಿವೆಂಕಟೆಶ್ವರ ಟೆಂಪ್ಲೆ)
Anjanapura Cross,ಅಂಜನಾಪುರ ಕ್ರಾಸ್
Anjanapura RTO Office,ಅಞನಪುರ ರ್ಟೊ ೊೞ್ೞಿಕೆ
Anjaneya Temple Anekal,ಆಂಜನೇಯ ದೇವಸ್ಥಾನ ಆನೆಕಲ್
Anjaneya Temple Bidaraguppe,ಆಂಜನೇಯ ಟೆಂಪಲ್ ಬಿದರಗುಪ್ಪೆ
Anjaneya Temple Devanahalli,ಆಂಜನೇಯ ದೇವಸ್ಥಾನ ದೇವನಹಳ್ಳಿ
Anjaneya Temple Madhure,ಆಂಜನೇಯ ಟೆಂಪಲ್ ಮಧುರೆ
Anjaneya Temple Nelamangala,ಆಂಜನೇಯ ದೇವಸ್ಥಾನ ನೆಲಮಂಗಲ
Anjaneya Temple Thigalarapalya,ಆಂಜನೇಯ ದೇವಸ್ಥಾನ ತಿಗಳರಪಾಳ್ಯ
Ankanahalli,ಅಂಕನಹಳ್ಳಿ
Ankegowdana Doddy,ಅಂಕೇಗೌಡನ ದೊಡ್ಡಿ
Annahalli,ಬಾನಂದೂರು
Annapoorneshwari nagara Cross,ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ ಕ್ರಾಸ್
Annapoorneshwarinagara,ಅಣ್ಣಪೂರ್ಣೇಶ್ವರಿ ನಗರ
Annapoorneshwarinagara Cross,ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ ಕ್ರಾಸ್
Annapoorneshwarinagara Water Tank,ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ ವಾಟರ್‌ ಟ್ಯಾಂಕ್
Annasandrapalya,ಅನ್ನಸಂದ್ರಪಾಳ್ಯ
Annasandrapalya Cross,ಅಣ್ಣಸಂದ್ರಪಾಳ್ಯ ಕ್ರಾಸ್
Anneshwara Circle,ಅಣ್ಣೇಶ್ವರ ಸರ್ಕಲ್
Anubhavanagara,ಅನುಭವನಗರ
Anugondanahalli,ಅನುಗೊಂಡನಹಳ್ಳಿ
Anugraha Badavane,ಅನುಗ್ರಹ ಬಡಾವಣೆ
Anugraha Badavane (Bilekahalli),ಅನುಗ್ರಹ ಬದವನೆ (ಬಿಲೆಕಹಲ್ಲಿ)
Anupahalli,ಅನುಪಹಳ್ಳಿ
Aparel Park,ಅಪಾರೆಲ್ ಉದ್ಯಾನವನ
Apex Bank,ಅಪೆಕ್ಸ್ ಬ್ಯಾಂಕ್
Apollo Hospital,ಅಪೋಲೊ ಆಸ್ಪತ್ರೆ
Appasandra,ಅಪ್ಪಸಂದ್ರ
Aradeshanahalli,ಅರದೇಶನಹಳ್ಳಿ
Aradeshanahalli Gate,ಅರದೇಶನಹಳ್ಳಿ ಗೇಟ್
Arahalli,ಅರಹಳ್ಳಿ
Arakere,ಅರಕೆರೆ
Arakere Byrapura,ಅರಕೆರೆ ಬೈರಾಪುರ
Arakere Gate,ಅರಕೆರೆ ಗೇಟ್
Arakere Mico Layout,ಅರಕೆರೆ ಮೈಕೊ ಬಡಾವಣೆ
Aralalusandra,ಅರಲಾಳುಸಂದ್ರ
Aralalusandra Cross,ಅರಲಾಳುಸಂದ್ರ ಕ್ರಾಸ್
Aralimara,ಅರಳಿಮರ
Aralimara Hosahalli,ಅರಳಿಮರ ಹೊಸಹಳ್ಳಿ
Aralimara Industrial Area  Rajajinagara,ಅರಳಿಮರ ಇಂಡಸ್ಟ್ರಿಯಲ್‌ ಎರಿಯಾ ರಾಜಾಜಿನಗರ
